saddr,daddr,sport
185.142.11.159,,http443
185.142.11.8,,http443
185.81.76.61,,http443
185.81.78.203,,http443
185.142.11.78,,http443
185.142.11.173,,http443
185.142.11.164,,http443
185.142.11.79,,http443
212.237.255.34,,http443
185.142.11.191,,http443
185.142.11.140,,http443
185.142.11.112,,http443
195.181.255.137,,http443
185.142.11.13,,http443
185.142.11.181,,http443
185.142.11.75,,http443
185.142.11.67,,http443
185.142.11.102,,http443
185.142.11.10,,http443
185.142.11.146,,http443
185.142.11.162,,http443
185.142.11.157,,http443
185.142.11.107,,http443
185.142.11.113,,http443
185.142.11.51,,http443
185.81.77.218,,http443
185.81.77.4,,http443
185.142.11.103,,http443
185.81.79.28,,http443
185.142.11.18,,http443
185.142.11.122,,http443
195.181.255.120,,http443
185.142.11.129,,http443
185.142.11.63,,http443
185.142.11.14,,http443
185.142.11.76,,http443
195.181.255.109,,http443
185.142.11.177,,http443
185.142.11.100,,http443
185.142.11.72,,http443
185.142.11.73,,http443
185.142.11.82,,http443
185.142.11.174,,http443
185.142.11.4,,http443
185.142.11.148,,http443
185.142.11.5,,http443
185.142.11.12,,http443
185.142.11.153,,http443
185.142.11.17,,http443
